Document_ID1	Document_ID2	Similarity
80	94	0.7234
93	1676	0.7080
93	7072	0.7414
94	95	0.7045
94	108	0.7067
99	4139	0.7001
111	120	0.7855
111	122	0.7802
111	8391	0.7425
120	122	0.7561
120	129	0.7142
143	8998	0.7047
148	7551	0.7103
149	169	0.7792
158	5252	0.7313
195	9913	0.7249
229	231	0.8644
229	242	0.7072
229	2758	0.8434
229	2761	0.7652
229	2762	0.7802
229	2764	0.8135
231	242	0.7136
231	2758	0.9024
231	2761	0.7421
231	2762	0.7198
231	2764	0.7152
240	2758	0.7020
241	520	0.7431
242	2758	0.7246
242	2761	0.7114
280	7575	0.7123
297	310	0.7273
298	308	0.7055
299	303	0.7410
299	304	0.8786
312	315	0.9711
351	353	0.7856
364	371	1.0000
365	445	0.7663
404	406	0.7694
406	407	0.7498
414	424	1.0000
434	3246	0.7511
434	3264	0.7958
434	8696	0.7317
434	8707	0.7344
434	8714	0.7594
434	8716	0.7640
434	8719	0.7846
448	451	0.8657
496	498	0.7094
543	1319	0.7948
608	611	0.7510
613	1840	0.8015
613	4264	0.8598
613	4284	0.8321
615	645	0.7248
615	657	0.7011
637	7624	0.7278
652	7584	0.7579
672	685	0.7009
685	8673	0.7351
687	703	0.7492
718	727	0.7284
763	1312	0.8556
773	6030	0.7320
792	14101	0.7238
821	823	0.7497
821	901	0.7261
821	14104	0.7347
823	901	0.7201
823	14104	0.7018
823	14106	0.7163
833	843	0.7203
843	848	0.7030
860	878	0.7116
866	875	0.7054
867	876	0.8392
867	878	0.7244
878	888	0.7243
878	895	0.7396
885	897	0.7507
888	889	0.7197
888	895	0.8005
889	895	0.7251
894	14106	0.7849
899	901	0.9387
903	3086	0.8017
903	3087	0.7213
905	14107	0.8010
930	2738	0.7345
937	950	0.7165
963	978	0.7219
969	981	0.7767
969	14117	0.7689
969	14120	0.7281
969	14314	0.7513
981	14314	0.7314
993	14121	0.7427
1046	3930	0.7295
1046	3931	0.7131
1046	3944	0.7097
1055	1073	0.7590
1055	1076	0.7252
1055	1082	0.7016
1055	1108	0.7353
1055	14126	0.7489
1057	1330	0.8024
1073	1076	0.7591
1073	1108	0.7522
1073	14126	0.7956
1076	1108	0.7757
1076	14126	0.7848
1082	1108	0.7227
1082	14126	0.7320
1104	10963	0.7050
1108	1110	0.7178
1108	14126	0.7781
1110	14126	0.7179
1117	1118	0.8304
1123	1139	0.7637
1123	1151	0.7395
1128	1145	0.7071
1138	1151	0.7500
1139	1151	0.7235
1141	1151	0.7210
1151	1173	0.7294
1151	1189	0.7370
1152	1160	0.7291
1153	1173	0.7394
1154	1189	0.7116
1173	1189	0.7040
1191	14126	0.7202
1193	1457	0.7278
1193	4315	0.7022
1205	1207	0.7260
1248	14138	0.8579
1258	2093	0.7332
1262	14140	0.8125
1271	14146	0.9178
1336	8369	1.0000
1403	3689	0.7125
1409	9819	0.7374
1457	1480	0.7559
1457	4315	0.7912
1457	5231	0.7100
1474	7213	0.7001
1480	4315	0.7329
1484	14160	0.7524
1545	15130	0.7598
1557	1574	0.7262
1577	11058	0.7116
1577	13082	0.7080
1584	9435	0.7358
1614	12915	0.7395
1632	1978	0.7263
1632	14070	0.7168
1681	7715	0.7185
1682	7715	0.7117
1697	1700	0.9054
1724	1729	0.7320
1745	14180	0.7035
1759	1788	0.7571
1766	1782	0.7343
1766	1783	0.7276
1766	1785	0.7769
1766	1795	0.8689
1766	14183	0.9383
1782	1785	0.7744
1782	1795	0.7927
1782	14183	0.7826
1783	1785	0.7073
1783	1795	0.7321
1783	14183	0.7317
1785	1795	0.8126
1785	14183	0.8222
1794	1795	0.7358
1795	14183	0.9231
1840	4264	0.8070
1840	4284	0.7046
1854	1855	0.7196
1880	1901	0.7821
1929	1978	0.7866
1929	7440	0.7299
1929	9930	0.7100
1929	14070	0.7239
1948	15185	0.8429
1978	7436	0.7127
1978	7440	0.7647
1978	9930	0.7619
1978	12837	0.7242
1978	14070	0.7702
1978	14698	0.7195
2152	5633	0.7184
2152	11058	0.7262
2152	13082	0.7173
2174	10080	0.7241
2174	14814	0.7732
2190	9034	0.7258
2220	2237	0.7189
2226	5633	0.7377
2226	11058	0.7101
2226	13082	0.8117
2253	2255	0.7407
2272	2281	0.8322
2284	2287	0.8496
2284	2298	0.9444
2287	2298	0.8542
2289	2462	0.7318
2333	2344	0.8928
2337	14236	0.7793
2342	2408	0.7119
2342	2433	0.7136
2343	2408	0.7142
2365	2371	0.7366
2365	2372	0.7178
2365	2423	0.7451
2365	14247	0.7088
2367	14237	0.9488
2371	2372	0.7922
2371	2384	0.7094
2371	2423	0.7501
2371	8591	0.7210
2371	14247	0.7405
2372	2423	0.7183
2372	14247	0.7003
2384	2423	0.7558
2386	2400	0.9180
2386	2406	0.7408
2386	2608	0.7652
2393	13996	0.8182
2397	2404	0.7484
2400	2406	0.7139
2400	2608	0.7825
2406	2608	0.8273
2408	2433	0.7077
2412	2421	0.8826
2418	3385	0.8215
2419	2421	0.7006
2421	2423	0.7118
2423	8591	0.7155
2423	14247	0.7395
2427	14738	0.7687
2440	14250	0.7285
2454	2455	0.8261
2455	9798	0.9066
2455	9807	0.7608
2466	7627	0.7036
2470	14255	0.7049
2479	9113	0.7034
2501	2503	0.8989
2501	2516	0.7131
2511	13982	0.7478
2512	2527	0.9264
2513	2532	0.7049
2522	9428	0.7837
2523	2525	0.7731
2611	14242	0.7840
2611	14245	0.7840
2636	2637	0.7715
2639	7807	0.7144
2656	7715	0.8729
2659	10006	0.7107
2692	2695	0.7332
2749	3736	0.7078
2749	3737	0.7818
2758	2761	0.7558
2758	2762	0.7453
2758	2764	0.7181
2761	2762	0.8455
2761	2764	0.8002
2762	2764	0.8794
2785	8345	0.7084
2792	2801	0.8241
2792	2802	0.9457
2801	2802	0.8076
2811	2955	0.7284
2817	2827	0.7905
2846	2847	0.8486
2846	2848	0.8735
2846	2858	0.8281
2847	2848	0.8895
2847	2858	0.8280
2848	2858	0.8745
2877	5974	1.0000
2907	3564	0.7208
2911	2922	1.0000
2912	2931	1.0000
2955	2965	0.7738
2975	2985	0.7797
2975	8579	0.8932
2985	8579	0.8402
3008	3014	0.7367
3008	3018	0.7114
3008	3026	0.7114
3018	3026	1.0000
3056	3063	0.7151
3056	3067	0.7107
3056	3087	0.7023
3062	3086	0.7292
3071	14303	0.7065
3084	3140	0.7044
3086	3087	0.8515
3090	3101	0.7330
3100	3114	0.9348
3100	3136	0.7024
3102	11089	0.7176
3139	6818	0.7053
3186	3201	0.7338
3201	3217	0.7340
3246	3264	0.7552
3246	8714	0.7563
3246	8716	0.7158
3246	8719	0.7461
3261	3361	0.7081
3264	8696	0.7256
3264	8707	0.7203
3264	8714	0.7491
3264	8716	0.7775
3264	8719	0.8034
3285	6851	0.8333
3287	3288	0.7135
3310	3312	0.7040
3310	14329	0.8274
3312	14329	0.8011
3313	3314	0.7058
3314	3316	0.9175
3319	3320	0.8252
3338	7739	0.8704
3356	3358	0.7101
3399	3415	0.7842
3400	14341	0.9275
3422	12636	0.7040
3443	10666	0.7131
3444	3471	0.7303
3456	3473	0.7915
3458	14342	0.8486
3461	6784	0.7104
3467	3468	0.7700
3499	7464	0.7066
3523	7779	0.7258
3531	3536	0.9004
3535	8009	0.7201
3553	3556	0.8990
3564	7715	0.7283
3564	13192	0.7475
3564	14353	0.7514
3572	8737	0.7687
3598	5905	0.7370
3599	3635	0.7280
